url,model,year,price,miles,type,color,status,image
https://www.carvana.com/vehicle/1917528,Model 3,2018,44590,54524,Long Range,color,Available,https://cdnblob.fastly.carvana.io/2001135995/post-large/2001135995-edc-02-search.jpg?v=2021.7.21_22.12.16
https://www.carvana.com/vehicle/1871421,Model 3,2018,43990,54500,Mid Range,color,Available,https://cdnblob.fastly.carvana.io/2001217453/post-large/normalized/zoomcrop/2001217453-edc-02.jpg?v=2021.8.13_15.11.53&width=347
https://www.carvana.com/vehicle/1982513,Model S,2015,51590,54441,P90D,color,Available,https://cdnblob.fastly.carvana.io/2001203893/post-large/normalized/zoomcrop/2001203893-edc-02.jpg?v=2021.8.6_22.0.47&width=347
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EA5JF021919,Model 3,2018,33999,54146,LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.carvana.com/vehicle/1951271,Model S,2013,38990,53784,Performance,color,Available,https://cdnblob.fastly.carvana.io/2001257770/post-large/normalized/zoomcrop/2001257770-edc-02.jpg?v=2021.8.26_15.32.5&width=347
https://www.vroom.com/inventory/tesla-model-x-2016-5YJXCDE28GF029491,Model X,2016,56999,53384,75D,color,Sale Pending,
https://www.carvana.com/vehicle/1901190,Model S,2015,47590,53258,70,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2020/14274/14274_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1811632,Model S,2014,34990,52821,P85,color,Available,https://cdnblob.fastly.carvana.io/2001180418/post-large/normalized/zoomcrop/2001180418-edc-02.jpg?v=2021.8.26_21.46.28&width=347
https://www.vroom.com/inventory/tesla-model-x-2016-5YJXCBE24GF023756,Model X,2016,65499,52265,AWD 75D 4DR SUV,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-x-2016-5YJXCBE24GF023756,Model X,2016,65499,52265,AWD 75D 4DR SUV,color,Available Soon,
"https://www.tesla.com/ms/order/5YJSA1E42FF110680?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,56600,52217,P85D All-Wheel Drive,Midnight Silver Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP00,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BT85,$P85D,$BS00,$BC0R,$CH00,$CW00,$COUS,$X040,$IDHG,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3G,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZCST,$PMNG,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR05,$RENA,$RFP2,$USSB,$X013,$S15G,$ME02,$QNEG,$SR01,$SP00,$X021,$SC04,$SU01,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT85P,$UTAW,$WTSG,$WR01,$YF00,$CPF0&crop=1400,850,300,130&scalemode=centered"
https://www.carvana.com/vehicle/1883560,Model X,2018,69990,52097,75D,color,Available,https://cdnblob.fastly.carvana.io/2001257404/post-large/normalized/zoomcrop/2001257404-edc-02.jpg?v=2021.9.4_20.57.59&width=347
https://www.carvana.com/vehicle/1816826,Model 3,2018,46990,51821,Performance,color,Available,https://cdnblob.fastly.carvana.io/2001217453/post-large/normalized/zoomcrop/2001217453-edc-02.jpg?v=2021.8.13_15.11.53&width=347
https://www.vroom.com/inventory/tesla-model-s-2018-5YJSA1E24JF244811,Model S,2018,51999,51437,AWD 75D 4DR LIFTBACK,color,Available Soon,
https://www.carvana.com/vehicle/1936194,Model X,2016,62990,51199,P90D,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2013/8319/8319_cc0640_032_EVOX02.png
